Filename,Original Size,Compressed Size,Compression Ratio (%),Time (s),h,7,R,",",9,E,L,x,.,p,e,3,M,F,f,',J,6,8,l,w,0,r,t,K,2,C,n,5,U,B,D,d,j,N,1,4,k,c,b,P,s,SPACE,u,A,I,o,v,g,y,\n,a,m,i
antonrejoe.txt,30,17,43.3333,0.001,,,3.333333,,3.333333,10.0,,,6.666667,,6.666667,,,,,,,,,,,6.666667,,3.333333,,6.666667,6.666667,6.666667,,3.333333,3.333333,,,3.333333,3.333333,,3.333333,,,,3.333333,,6.666667,,3.333333,,6.666667,,,,3.333333,,,
sample1.txt,23,12,47.8261,0.000638,,,,,,,,,,,,4.347826,,4.347826,8.695652,,,,,4.347826,,,,,4.347826,13.043478,,,,,,4.347826,13.043478,8.695652,,8.695652,,,,,,8.695652,8.695652,,,,,,,,,8.695652,,
sample2.txt,6973,3909,43.9409,0.007321,2.409293,0.100387,,0.688369,0.258139,,0.688369,0.344185,0.688369,3.097662,10.153449,0.100387,0.129069,,1.032554,0.172092,0.014341,0.229456,0.043023,2.92557,1.032554,0.573641,4.130217,7.399971,,0.114728,,6.53951,0.229456,,,,2.753478,0.028682,,0.430231,0.057364,1.204646,1.720924,0.860462,0.172092,6.711602,15.488312,2.92557,0.172092,1.032554,4.302309,0.860462,1.893016,2.237201,0.631005,4.818586,3.097662,5.506955
sample3.txt,38038,21100,44.5292,0.03116,2.42915,,,0.694043,0.173511,,0.694043,0.347021,0.694043,3.123193,10.237131,,0.173511,,1.041064,0.173511,,0.173511,,2.949682,1.041064,0.520532,4.164257,7.46096,,,,6.593407,0.173511,,,,2.776171,,,0.347021,,1.214575,1.735107,0.867553,0.173511,6.766917,15.615963,2.949682,0.173511,1.041064,4.337767,0.867553,1.908618,2.255639,0.578369,4.8583,3.123193,5.552342
