Filename,Original Size,Compressed Size,Compression Ratio,Time (s),Symbol Probabilities
sample/sample1.txt,23,12,47.8261,0.000765,D:4.347826%; K:4.347826%; 1:8.695652%; F:4.347826%; j:8.695652%; l:4.347826%; d:13.043478%; f:8.695652%; s:8.695652%; 2:13.043478%; a:8.695652%; SPACE:8.695652%; 3:4.347826%; 
sample/sample2.txt,6916,3838,44.5055,0.005902,"0:0.520532%; k:1.214575%; 1:0.347021%; l:2.949682%; c:1.735107%; v:0.867553%; b:0.867553%; ':0.173511%; a:4.858300%; I:1.041064%; f:1.041064%; s:6.766917%; L:0.694043%; y:2.255639%; d:2.776171%; \n:0.578369%; u:2.949682%; A:0.173511%; w:1.041064%; SPACE:15.615963%; 6:0.173511%; P:0.173511%; m:3.123193%; M:0.173511%; e:10.237131%; r:4.164257%; o:4.337767%; p:3.123193%; 5:0.173511%; 9:0.173511%; t:7.460960%; x:0.347021%; h:2.429150%; i:5.552342%; .:0.694043%; n:6.593407%; ,:0.694043%; g:1.908618%; "
sample/sample3.txt,38038,21100,44.5292,0.028535,"1:0.347021%; l:2.949682%; c:1.735107%; v:0.867553%; b:0.867553%; ':0.173511%; g:1.908618%; ,:0.694043%; n:6.593407%; I:1.041064%; f:1.041064%; s:6.766917%; L:0.694043%; y:2.255639%; M:0.173511%; 0:0.520532%; k:1.214575%; u:2.949682%; A:0.173511%; w:1.041064%; SPACE:15.615963%; 6:0.173511%; P:0.173511%; m:3.123193%; o:4.337767%; p:3.123193%; 5:0.173511%; e:10.237131%; r:4.164257%; \n:0.578369%; a:4.858300%; d:2.776171%; 9:0.173511%; t:7.460960%; x:0.347021%; h:2.429150%; i:5.552342%; .:0.694043%; "
